gruiformes: Animal
antrozous: Animal
eleutherodactylus: Animal
moonwort: Nature
tiliaceae: Nature
mnium: Nature
testacean: Animal
processing: Tech
myxinidae: Animal
reptantia: Animal
candlepower: Light
ax : Cutting 
rimu : Nature 
phaeophyceae : Nature 
encoding : Tech 
pimp : Evil 
kinosternidae : Animal
melursus: Animal
damkina: Water
melicoccus: Nature
petaurista: Animal
mutagen: Toxic
needlework: Piercing
synthetic: Tech
perdicidae: Animal
anoplura: Animal
antiknock : Toxic
chilopoda : Animal
silo : Tech
merino : Animal
purr : Animal
myonecrosis : Toxic
sinner : Evil
taeniidae : Animal
marantaceae : Nature
telekinesis : Magic
halogeton : Toxic
warmongering : Evil
walkman : Tech
animist : Animal
digitoxin : Toxic
growth : Life
superhighway : Tech
neem : Nature
moistening : Water
wife : Life
eraser : Tech
liger : Animal
disciple : Good
lurker : Evil
mountain : Earth
thylacine : Animal
branch : Nature
pesticide : Toxic
pipidae : Animal
forestiera : Nature
piciformes : Animal
ringtail : Animal
drosophilidae : Animal
flagfish : Animal
fiberboard : Tech
mink : Animal
hater : Evil
authoritarian : Evil
ectoplasm : Magic
heretic : Evil
camcorder : Tech
dive : Water
waterwheel : Water
anticyclone : Air
counterblow : Blunt
stud : Piercing
sericulturist : Nature
cryptophyceae: Water
marten: Animal
stove: Tech
automation: Tech
cicindelidae : Animal
dead : Death
squatina : Animal
saururus : Nature
arsine : Toxic
badger : Animal
chickasaw : Animal
ripsaw : Cutting
kirpan : Piercing
lego : Tech
ibex : Animal
cathartes : Animal
peronospora : Toxic
vincetoxicum : Toxic
husk : Nature
adelgid : Toxic
agrimonia : Nature
ptychozoon : Animal
phototherapy : Light
circuit : Tech
snout : Animal
acanthophis : Animal
ornithopod : Animal
dichondra : Nature
papyrus : Earth
copperhead : Animal
flesh : Life
egg : Animal
collusion : Evil
hydrilla : Toxic
badness : Evil
houseplant : Nature
apodemus : Animal
malfunction : Tech
airliner : Air
podargus : Animal
wrongdoer : Evil
seminary : Healing
aphrodisia : Nature
doge : Animal
swatter : Blunt
victimizer : Evil
alcea : Nature
polyangiaceae : Nature
protozoa : Animal
empathy : Healing
feijoa : Nature
lionet : Animal
exabyte : Tech
baby : Life
cryptomeria : Nature
almandite : Earth
snipefish : Water
eutrophication : Nature
weather : Air
dracula : Dark
camel : Animal
lizard's-tail : Animal
polynemidae : Water
lepidosauria : Animal
nakedwood : Nature
horus : Light
robber : Evil
puppet : Tech
hylactophryne : Animal
honeybee : Animal
grouper : Animal
pterois : Water
nitrocalcite : Earth
weaponry : Cutting
shearing : Cutting
tsuga : Nature
bellbird : Animal
calycanthus : Nature
perpetrator : Evil
molidae : Animal
glucosamine : Healing
barley : Nature
selsyn : Tech
bullterrier : Animal
delphinapterus : Animal
trammel : Blunt
farrow : Animal
lode : Earth
rushlight : Light
nourishment : Healing
polymorphism : Nature
quadruped : Animal
mournfulness : Dark
nogging : Blunt
rehabilitation : Healing
olympus: Nature
bugbane: Toxic
villainy: Evil
teaberry: Nature
peridiniidae: Water
mesocricetus: Animal
shipbuilding: Water
equipment: Tech
oxyura: Animal
criminal: Evil
preserver: Healing
gerenuk: Animal
carver: Cutting
cotter: Blunt
sequoiadendron : Nature
basilisk : Toxic
battledore : Blunt
antifungal : Healing
quipu : Tech
lilith : Evil
aerophile : Air
algol : Tech
matricaria : Nature
hippocrates : Healing
methanogen : Fire
hypanthium : Nature
palfrey : Animal
propanol : Toxic
perfidy : Evil
steelmaker : Tech
jumpstart : Electric
enfilade : Cutting
strychnine : Toxic
deerberry : Nature
infuriation : Evil
glassblower : Fire
volcano : Fire
killdeer : Animal 
reptile : Animal
cautery : Healing 
boneshaker : Blunt 
cub : Animal 
pigweed: Nature
hymn : Light
falconiformes : Animal
loranthaceae : Nature
lacer : Cutting
armageddon : Evil
monodon : Animal
handcar : Tech
parang : Cutting
missionary : Good
chivalry : Good
fern : Nature
cotoneaster : Nature
todidae : Animal
chiropractor : Healing
tetrodotoxin : Toxic
ghost : Death
wollastonite : Earth
dab : Blunt
tabanidae : Animal
meleagris : Animal
bomber : Fire
gopher : Animal
pork : Animal
mimidae : Animal
balsamorhiza : Nature
linocut : Cutting 
cave: Earth 
asphodeline : Nature 
apocynum : Nature 
feldspar : Earth
uraninite : Toxic
regimentation : Tech
coachwhip : Blunt
thunderclap : Electric
ether : Air
milan : Animal
necrobiosis : Death
bullfrog : Animal
aculea : Piercing
integrity : Good
purgative : Healing
cart : Tech
salpinx : Blunt
thrust : Piercing
oleoresin : Nature
atmometer : Tech
spectrograph : Tech
iceboat : Water
faithful : Good
melolonthidae : Animal
platycephalidae : Animal
hell : Evil
phasianid : Animal
coralbells : Nature
quantization : Tech
spalax : Animal 
perissodactyla : Animal
roadrunner : Animal
melopsittacus : Animal
spike : Piercing
hoya : Nature
featherweight : Air
thysanura : Animal
lovingness : Good
loudspeaker : Tech
bittacidae : Animal
anserinae : Animal
agape : Good
ripper : Cutting
impudence : Evil
seismologist : Earth
wonderland : Magic
output : Tech
anesthesiologist : Healing
leprosy : Toxic
herpetology : Animal
prophet : Magic
humanity : Good
airline : Air
anoa : Animal
squeaker : Animal
agouti : Animal
wounded : Healing
benzene : Toxic
truthfulness : Good
hardwood : Earth
dimmer : Tech
torchbearer : Light
digitalis : Toxic
geomancer : Magic
chandelier : Light
cur : Animal
musketry : Blunt
plague : Toxic
loquat : Nature
pogrom : Evil
poltergeist: Evil
scrubbird: Animal
devices: Tech
cacicus: Animal
spokeshave : Blunt
pentode : Tech 
firearm : Cutting 
lock-gate : Tech 
scorch : Fire
pholadidae : Animal
season : Nature
broadax : Cutting
embolectomy : Healing
thanatology : Death
firewall : Fire 
riverbed : Water
sphyrna : Nature
casuarius : Animal
flowerbed : Nature
chlorinity : Water
kidnapper : Evil
minisub : Tech
dendromecon : Nature
torridity : Fire
lanternfish : Water
molossidae : Animal
forsythia : Nature
humulus : Nature
telethermometer : Tech
hellbender : Animal
gaea : Nature
anhimidae : Animal
exhumation : Death
recovery : Healing
oak : Nature
spherometer : Tech
anthozoa : Water
liman : Water
midwife : Healing
mytilus : Water
scablands : Earth 
goosefoot : Nature
gearbox : Tech
pearlwort : Nature
shrine : Magic
centranthus : Nature
cassiterite : Earth
megaptera : Animal
gildhall : Light
glowworm : Nature
vespertilio : Animal
saw : Cutting
byte : Tech
collembolan : Animal
grassland : Nature
diervilla : Animal
piglet : Animal
apium : Nature
chytridiomycetes : Nature
photopigment : Light
airburst : Air
compositae : Nature
downpour : Water
landscapist : Nature
jugular : Piercing
tiglon : Animal
mackerel : Animal
blindworm : Animal
jimsonweed : Nature
diabolism : Evil
sandarac : Nature
aepyornidae : Animal 
spurge : Nature
cutthroat : Cutting
kalotermitidae : Animal
bluebird : Animal
parentage : Life
anti-inflammatory : Healing
cruelty : Evil
electroretinogram : Electric
sneezeweed : Nature
electrode : Electric
forewing : Air
agaricales : Nature
uppercut : Piercing
kea : Animal
microbalance : Tech
resonator : Tech
fungia : Nature
flamethrower : Fire
magnoliidae : Nature
grouse : Animal
chromite : Earth
moonseed : Nature
triggerfish : Water
overlord : Evil
mineral : Earth
pool : Water
mudhif : Earth
ictalurus : Animal
laburnum : Nature
garden : Nature
serval : Animal
albulidae : Animal
young : Life
blip : Electric
shockley : Electric
dromaeosaur : Animal
yellowwood : Nature
evocation : Magic
stingray : Animal
palpation : Healing
dioscoreaceae : Nature
incisure : Piercing
carnosaur : Animal
mus : Animal
mechanism : Tech
discord : Dark
toxicology : Toxic
ailurus : Animal
volund : Electric
ethchlorvynol : Toxic
sigmodon : Animal
gorilla : Animal
eschrichtius : Animal
transponder : Tech
trampler : Blunt
bonefish : Animal
hazelnut : Nature
chalcididae : Animal 
calliphora : Animal
cipher : Magic
ailuropodidae : Animal
orthodontist : Healing
mammoth : Animal
tarsier : Animal
zeolite : Earth
hart's-tongue : Nature
plethysmograph : Tech
bolide : Fire
burro: Animal
printout: Tech
splash: Water
tibetan: Nature
watering: Water
hearth : Life
pomo : Nature
pet : Animal
bloat : Toxic
shakedown : Evil
heart : Life
bunchberry : Nature
schemer : Evil
biosystematics : Nature
purslane : Nature
logarithm : Tech
gastrulation : Life 
rose-root : Nature
cryptography : Tech 
snip : Cutting
guaiacum : Nature
desmodus : Animal
furunculosis : Toxic
lemuroidea : Animal
ononis : Nature
tropism : Nature
cat's-claw : Animal
lymphadenitis : Healing
assegai : Piercing
parrot : Animal
falchion : Cutting
tendinitis : Healing
endocarditis : Healing
wateriness : Water
neurosurgeon : Healing
circuitry : Tech
hitler: Evil
brand: Fire
warplane: Tech
horsehide: Animal
tautog: Animal
snow-in-summer : Water
minicar : Tech
broadcasting : Electric
ocotillo : Nature
blackfoot : Animal
afterlife : Life
nefariousness : Evil
splinter : Piercing
cloud: Air
cryoanesthesia: Water
jet: Air
countersink: Cutting
leptocephalus: Water
myrmeleontidae: Animal
plagioclase: Earth
fishbowl: Water
shipworm: Animal
watercourse: Water
hardinggrass : Nature
birthwort : Healing 
bubalus : Animal 
dipsosaurus : Animal 
streamer : Air
headwind : Air 
detector : Tech 
hystricidae : Animal
zoarces : Water
football : Blunt
soap : Water
mitomycin : Toxic
electrophorus : Electric
nitrospan : Fire 
airflow : Air
triops : Animal
unkindness : Evil
cockatrice : Magic
puppy : Animal
stannite : Earth
sandgrouse : Animal
smasher : Blunt
globicephala : Animal
clethra : Nature
steppe : Earth
laceration : Cutting
enchantress : Magic
driveshaft : Tech
whirlwind : Air
keyboard : Tech
physeter : Animal
scythe : Cutting
hibernation : Life
earthball : Earth
takin : Animal
conductance : Electric
amygdalus : Nature
forklift : Tech
oxide : Toxic
electrician : Electric
staphylococcus : Toxic
riptide : Water
heliophila : Light
distortionist : Magic
recrudescence : Healing
whitefish : Animal
asura : Evil
bunker : Tech
chokedamp : Toxic
cancerweed : Nature
cirrus : Air
superstring : Magic
ornithomimid : Animal
boltonia : Nature
scorpius : Animal
catacomb : Darkness
chigoe : Animal
planetesimal : Air
leper : Healing
hawkmoth : Animal
saururaceae : Nature
housefly : Animal 
lure : Animal 
anolis : Animal
arachnophobia : Animal
electrocution : Electric
acanthus : Nature
buffalofish : Animal
elephant : Animal
christ's-thorn : Nature
logo : Tech
niblick : Blunt
sequin : Earth
heulandite : Earth
dolomite : Earth
pacifist : Good
nyiragongo : Fire
antimetabolite : Toxic
vitalism : Life
stem : Nature
martensite : Tech
chlorate : Toxic
gyrocompass : Tech
limonite : Earth
weathercock : Air
paramagnet : Magic
coagulase : Healing
gammopathy : Toxic
tarpon : Water
leitneriaceae : Nature
sugarcane : Nature
gibberellin : Nature
gull : Animal
ballistics : Tech
heater : Fire
tuff : Earth
deception : Evil
hawk's-beard : Nature
arthropoda : Animal
prairie : Nature
seasnail : Animal
sturnella : Animal
suturing : Piercing
petard : Fire
fraud : Evil
ozarks : Nature
Loam : Earth
Seedtime : Life
haler : Healing
cavalryman : Animal
tendril : Nature
e-commerce : Tech
transformation : Magic
razorbill : Piercing
chrysaora : Water
alytes : Animal
paraquat : Toxic
cynopterus : Animal
remedy : Healing
barbarization : Evil
epidendron : Nature
ozone : Air
mytilidae : Animal
success : Good
snow : Water
polypedatidae : Animal
jeep : Tech
titania : Nature
glockenspiel : Light
rangifer : Animal
pyrophosphate : Toxic
alluvion : Water
survivor : Life
vigor : Healing
cocytus : Water
discouragement : Dark
fire-on-the-mountain : Fire
straightedge : Cutting
acre : Earth
symbolist : Magic
brucellosis : Toxic
ferricyanide : Toxic
coracias : Animal
abolitionist : Good
crematory : Fire
leucaena : Nature
geyser : Water
sphygmomanometer : Tech
lambis : Animal
messiah : Healing
scrophulariaceae : Nature
dandelion : Nature
dangerousness : Evil
bulldozer : Tech
cervidae : Animal
onychomys : Animal
lantana : Nature
dosemeter : Tech
aplodontia : Animal
gem : Earth
malfeasance : Evil
landmass : Earth
larvacide : Toxic
calanthe : Nature
wren : Animal
cluck : Animal
burning : Fire
platy : Animal
quickening : Life
clip : Cutting
cobweb : Nature
helenium : Nature
regicide : Evil
chick : Animal
orogeny : Earth
vitalist : Life
stonework : Earth
slaughter : Death
esophagoscope : Tech
raspberry : Nature
electrolysis : Electric
metatherian : Animal
puncture : Piercing
peroxide : Toxic
craspedia : Nature
dipsacaceae : Nature
acrocyanosis : Nature
burette : Tech
immunoassay : Tech
pumpkinseed : Nature
garuda : Animal
lightship : Tech
geraniales : Nature
marduk : Magic
rainbow : Light
lycophyta : Nature
garage : Tech
fanjet : Tech
reincarnation : Life
picoides : Animal
immunization : Healing
cicada : Animal
loving-kindness : Good
brooks : Water
pharmacy : Healing
arctostaphylos : Nature
pimozide : Toxic
morality : Good
theropod : Animal
canvasback : Animal
sialis : Animal
pratincole : Animal
voyeurism : Evil
beachfront : Water
stonecress : Earth
misanthropy : Evil
sagitta : Piercing
belladonna: Toxic
sawfly : Nature
zephyr : Air
virulence : Toxic
azide: Toxic
streptolysin: Toxic
propane: Fire
assembly: Tech
aquarium: Water
bunter: Blunt
geomancy : Magic
osteoblast : Life
nerthus : Nature
moo : Animal
blackheart : Evil
myosarcoma : Life
dash-pot : Tech
reflexology : Nature
accipitridae : Animal
humate : Healing
luscinia : Animal
abyss : Dark
tincture : Magic
rescue : Good
fluosilicate : Toxic
martynia : Nature
ultramicroscope : Tech
kidnapping : Evil
migrator : Animal
fiddlestick : Blunt
knell : Death
daisybush : Nature
barnacle : Water
forecaster : Magic
harebell : Nature
taxus : Nature
gnetum : Nature 
gerrididae : Animal
pay-phone : Tech
spectroscope : Magic
char : Fire
hydnum : Nature
mockingbird : Animal
collocalia : Animal
limewater : Water
blunderbuss : Blunt
megaton : Fire
diathermy : Electric
hydrocele : Water
tnt : Fire
cumulonimbus : Air
moonbeam : Light
phellodendron : Nature
ailment : Healing
sulfur : Toxic
fraudulence : Evil
mate : Animal
phacoemulsification : Tech
puffbird : Animal
titanosaurus : Animal 
angler : Animal
solenogastres : Animal 
scald : Fire 
macrocheira : Animal
vole : Animal
chromosphere : Fire
keratoplasty : Healing
cecropiaceae : Nature
creation : Life
dominion : Evil
mollusk : Water
pond : Water
agama : Animal
recoil : Electric
sequoia : Nature
vayu : Air
milliwatt : Tech
basketry : Animal
aluminate : Tech
oenothera : Nature
gonorrhea : Toxic
psyllidae : Animal
typescript : Tech
goitrogen : Toxic
shove : Blunt
usurer : Evil
broom : Blunt
meander : Water
outfall : Water 
grouseberry : Nature
boom : Fire
wildlife : Animal
magus : Magic
proboscidean : Animal
fieldstone : Earth
brad : Piercing
blowhole : Nature
suckling : Animal
lymph : Healing
scorpionida : Animal
macropus : Animal
schadenfreude: Evil
teething: Healing
printer: Tech
reflector: Light
fantasia: Magic
heartbeat : Life
airspeed : Air
beggarweed : Nature
stogy : Blunt
coruscation : Light
unlawfulness : Evil
lagoon : Water
widow : Life
boann : Nature
tidewater : Water
lights-out : Dark
combustible: Fire
tracheophyta: Nature
granadilla: Nature
bottom-feeder: Animal
godliness: Good
inula: Nature
banyan: Nature
flathead : Blunt
pygoscelis : Animal
towhee : Animal
rhynchocephalia : Animal
aragonite : Earth 
mojo : Magic
castanea : Nature
gallbladder : Life
gratefulness : Life
sockeye : Animal
webcam : Tech
broodmare : Animal
dormition : Life
farm : Nature
cladonia : Nature
pteridophyte : Nature
mending : Healing
al-tawhid : Light
plasmablast : Electric
ingot : Fire
oxygen : Air
recessional : Nature
songbird : Animal
clubbing : Blunt
callosotomy : Cutting
synapse : Tech
avalanche : Nature
diamante : Earth 
savara : Animal 
loyalty : Good 
gallantry : Good 
sonar : Tech 
phalarope : Animal
shoebill : Animal
cuprite : Earth
motacillidae : Animal
aerospace : Air
fawn : Animal
ray : Light
pollen : Nature
reserpine : Toxic
catgut : Piercing
acicula : Piercing
pushball : Blunt
anomalopidae : Animal
antiserum : Healing
potentiometer : Tech
javelin : Piercing
bambusa : Nature
cowrie : Animal
triakidae : Water
stalagmite : Earth
blackfly : Animal
applewood : Nature
spume : Water
taricha : Water
hickory : Nature
houdini : Magic
lahar : Water
tutankhamen : Death
polypedates : Animal
miller's-thumb : Animal
zinjanthropus : Animal
mastigoproctus : Animal
cyanocitta : Animal
lasiurus : Animal
thermocouple : Tech
rhinotermitidae : Animal
pteropus : Animal
contagion : Toxic
gadus : Animal
gelding : Animal
steed : Animal
jeweler : Earth
mobula : Animal
sabot : Blunt
motorcyclist : Tech
kilobyte : Tech
rock : Earth
arborolatry : Nature
diviner : Magic
teletypewriter : Tech
amaethon : Nature
signal : Electric
cowberry : Animal
surf : Water
diaphoretic : Healing
margay : Animal
mount : Nature
naranjilla : Nature
health : Healing
c-ration : Tech
scoreboard : Tech
coturnix : Animal
melanogrammus : Animal
catkin : Animal 
commelinaceae : Nature 
vandalism : Evil 
rowan : Nature 
thunderbolt : Electric
ephedra : Toxic
conformity : Good
streetlight : Light
nostoc : Nature
interrogation : Evil
rip : Piercing
arthropod : Animal
alley : Blunt 
leaf : Nature
snowcap : Water
stockcar : Tech
marine : Water
guano : Earth
sapremia : Toxic
sodium : Nature
satan : Evil
aspirin : Healing
lycopodiaceae : Nature
microspore : Nature
phegopteris : Nature
carp : Water
cementum : Earth
lycopodineae : Nature
mythologization : Magic
visibility : Light
greenskeeper : Nature
carjacking : Evil
plover : Animal
alloy : Tech
pompano : Animal
actinidia : Nature
curassow : Animal
alcedo : Animal
condylura : Animal
carcinogen : Toxic
foothill : Earth
arabidopsis : Nature
borago : Nature 
enlightenment : Light 
viverridae : Animal
ossuary : Death
tarpan : Animal
pentacle : Magic
leek : Nature
kalmia : Nature
groundcover : Nature
hypochlorite : Water
extinction : Death
kinosternon : Animal
interoperability : Tech
whirlpool : Water
paralichthys : Animal
pierce : Piercing
rejuvenation : Healing
varuna : Water
speleology : Earth
peridotite : Earth
liliaceae : Nature
chimaeridae : Animal
antiprotozoal : Toxic
nyx : Dark
theodicy : Good
god : Light
pilferage : Evil
heartburn : Healing
incandescence : Light
poultice : Healing
cucurbitaceae : Nature
aftercare : Healing
sub-assembly : Tech
clocksmith : Tech
beagle : Animal
oneiromancy : Magic
lancewood : Nature
hovercraft : Tech
rinse : Water
safebreaker : Tech
redhorse : Animal
catharanthus : Nature
paloverde : Nature
porker : Animal
leptospira : Toxic
andropogon : Nature
poisoning : Toxic
holophyte : Nature
euonymus : Nature
nailfile : Cutting
acropora : Nature
redemption : Light
grid : Tech
doomed : Dark
megawatt : Tech
bog : Earth
hygroscope : Water
medicare : Healing
waterworks : Water
salamandra : Fire
wading : Water
insurgent : Evil
abracadabra : Magic
nestling : Animal
eruption : Fire
marsupialia : Animal
breechblock : Tech
demodulation : Tech
processor : Tech
divinity : Good 
dictator : Evil
cetacea : Animal
lullaby : Healing
odometer : Tech
chokecherry : Nature
monkey-wrench : Tech
antedonidae : Animal
shredder : Cutting
radiotherapy : Electric
haematopus : Animal
tern : Air
valley : Nature
polyethylene : Tech
cryptogramma : Nature
myriapod : Animal
necturus : Animal
entomologist : Animal
cymbid : Animal
operation : Tech
bandsaw : Cutting
cyanobacteria : Nature
flea : Animal
capparis : Nature
mojarra : Animal
peltandra : Nature
ocyurus : Animal
bicycle : Tech
leishmaniasis : Toxic
palinuridae : Animal
myrmecia : Animal
thalictrum : Nature
biter : Cutting
soricidae : Animal
iridaceae : Nature
hypercoaster : Tech
galvanometer : Electric
cornfield : Nature
crossbar : Cutting
atrocity : Evil
volley : Blunt
homophobe : Evil
rhyolite : Earth
herder : Animal
pyrometer : Tech
vitamin : Life
demigod : Good
ocean : Water
menura : Animal
liomys : Animal
terebinth : Nature
menispermaceae : Nature
minniebush : Nature
hoe : Blunt
stickweed : Nature
xanthomonas : Toxic
chondrichthyes : Animal
blooming : Life
ironworks : Tech
teleportation : Magic
palaemonidae: Water
aggressor : Evil
quoits : Blunt
finder : Light
conviction : Good
euryalida : Animal
timekeeper : Tech
synagrops : Animal
plasmodiophora : Toxic
dogfighter : Evil
chlorococcales : Water
famine : Life
carpetweed : Nature
spot-welder : Tech
cortisone : Healing
xeroradiography : Tech
dasyuridae : Animal
sandblaster : Tech
flood : Water
amia : Animal
gallinula : Animal
asbestosis : Toxic
liver : Life
meter : Tech
truncheon : Blunt
malevolence : Evil
collie : Animal
gymnosperm : Nature
heartseed : Life
dropkick : Blunt
erythrite : Earth 
waterline : Water
pyrenomycetes : Nature
gigabit : Tech
ethernet : Electric
shrubbery : Nature
voiceprint : Tech
petroleum : Fire
paguridae : Animal
synthesist : Magic
greenhouse : Nature
cygnet : Animal
hyrax : Animal
budorcas : Animal
thraupidae : Animal
jadeite : Earth
motorcycle : Tech
humvee : Tech
badminton : Blunt
chipmunk : Animal
feather : Air
maleficence : Evil
moon-worship : Nature
plantago : Nature
wetter : Water
ritual : Good
nitrochloromethane : Toxic
graverobber : Evil
baseness : Evil
mugwort : Nature
oryzomys : Animal
joust : Piercing
lark : Animal
pyrausta : Animal
manhole : Earth
hoop : Blunt
redwood : Nature
nummulite : Earth
myocardium : Life
maja : Magic
ushas : Nature
nut : Earth
kabbalism : Light
embezzler : Evil
chassis : Tech
analeptic : Healing
lory : Animal
programming : Tech
buffalo : Animal
sprig : Nature
gospel : Light
scanner : Tech
physalia : Water
chili : Fire
lucanidae : Animal
sword : Cutting
bradypodidae : Animal
mistletoe : Nature
data : Tech
infrastructure : Tech
shotgun : Piercing
sorex : Animal
sphyrnidae : Animal
pagrus : Animal
hostile : Evil
banteng : Animal
tingidae : Animal 
sarsaparilla : Nature
vultur : Animal 
thalidomide : Toxic
kyanite : Earth 
recorder : Tech
salpingectomy : Healing
buceros : Animal
organic : Nature
goosander : Animal
abomination : Evil
chlorite : Earth
creeper : Animal
hamadryad : Nature
falconer : Animal
grindstone : Earth
intelnet : Tech
bauxite : Earth
hexachlorophene : Toxic
tetryl : Toxic
hydrant : Tech
arithmancy : Magic
avionics : Tech
antagonism : Evil
campanulales: Nature
acupressure: Healing
pyrophorus: Fire
gentiana: Nature
woodcock: Animal
wallaby: Animal
growing : Life
moray : Water
bulldog : Animal
pangaea : Earth
electrocautery : Electric
poppet : Magic
entomostraca : Toxic
wholeness : Healing
oocyte : Life
parotitis : Evil
epinephelus : Water
corydalus : Water
burrfish : Water
lingcod : Water
moonflower : Nature
rhinolophidae : Animal
merginae : Animal
brainwashing : Tech
xyridaceae : Animal
jerboa : Animal
serpentes : Animal
machinery : Tech
heartiness : Life
earthenware : Earth
succubus : Evil
planula : Nature
good-temperedness : Good 
whiteface : Light
carnotite : Earth
pokeweed : Nature
elf : Nature
chop : Cutting
aircrewman : Air
flamen : Fire
nimravus : Nature
pharmaceutical : Healing
auklet : Animal
immunology : Healing
volcanism : Fire
companion : Animal
spirit : Life
watch : Tech
thievishness : Evil
pagophilus : Water
dhole : Animal
redbud : Nature
hausmannite : Earth
demogorgon : Evil
pipefitting : Tech
agrostis : Nature
lyssavirus : Toxic
succulent : Nature
thermistor : Tech
samoyedic : Animal
buckskin : Animal
timberman : Blunt
apoidea : Animal
phenyltoloxamine : Toxic
phentolamine : Toxic
vibraphone : Electric
spaniel : Animal
anemone : Water 
basidiolichen : Nature 
metallurgist : Tech 
polydactylus : Animal 
alpinism : Nature
oligarch : Evil 
rhinoptera : Animal
opisthorchiasis : Toxic
deathbed : Death
anomalopteryx : Animal
pulley: Tech
osmanthus: Nature
butt: Blunt
maple: Nature
rainstorm: Water
snailfish: Animal
arctiid: Animal
amblyrhynchus : Animal
keteleeria : Nature
atharva-veda : Magic
ninkhursag : Nature
leopard : Animal
thoracotomy : Healing
venality : Evil
heliolatry : Light
harpooner : Piercing
dissolution : Water
liar : Evil
healthcare : Healing
pelycosaur : Animal
capuchin : Animal
sabbatia : Nature
resistor : Tech
aborticide : Evil
nuthatch : Animal
theophrastaceae: Nature
telemeter : Tech
hominid : Animal
mayacaceae : Nature
plectranthus : Nature
cynoscion : Animal
bacteriology : Toxic
astrantia : Nature
cobalt : Earth
appliance : Tech
punctum : Piercing
aegiceras : Nature
pheasant : Animal
animateness : Life
baseball : Blunt
pick : Piercing
swordtail : Cutting
submarine : Water
horsefly : Animal
goldeneye : Animal
bismuth : Earth
gerbil : Animal
airbrake : Tech
foxtail : Animal
ivorybill : Animal
shield : Blunt
balloon : Air
linotype : Tech
vicuna : Animal
wash : Water
pinhole : Piercing
nymphalidae : Animal
lamb's-quarters : Nature
tailstock : Tech
dolichotis : Animal
petrogale : Animal
brook : Water
molestation : Evil
pity : Good
philodendron : Nature
petrochemical : Tech
epidemic: Life
balsam: Nature
antilope: Animal
bufflehead : Animal
hosta : Nature
transmission : Tech
wren-tit : Animal
bonesetter : Healing
asclepias : Nature
cacodyl : Toxic
tupaiidae : Animal
chironomidae : Animal
clog : Blunt
polystyrene : Tech
sanity : Life 
escherichia : Toxic
osteoglossidae : Animal
shrimp : Animal
peripatidae : Animal
saber : Cutting
aerator : Tech
antidiabetic : Healing
virtue : Good
misfortune : Evil
jackdaw : Animal 
five-hitter : Blunt
tunnel : Tech
boneset : Healing
ipecac : Toxic 
carbonization : Fire
jammer : Tech
loess : Earth 
recklessness: Evil
pyrolatry : Fire
gastroboletus : Nature
diapensiaceae : Nature
inverter : Tech
falsity : Evil
dilleniaceae : Nature
pistoleer : Fire
soil : Earth
warrigal : Animal
oriolidae : Animal 
wingspan : Air 
osteophyte : Nature
mountaineer : Nature
homeopath: Healing
bloodletting: Healing
lakeside: Water
corrosive: Toxic
breath: Air
hare: Animal 
dragonfly : Animal
polymerization : Tech
gallinule : Animal
elephantiasis : Toxic
motmot : Animal
parks : Nature
marlberry : Nature
righteousness : Good
gunrunner : Evil
mycelium : Nature
ancestor : Life
cercopidae : Animal
silviculture : Nature
annotation : Tech
bothidae : Animal
geology : Earth
scabious : Nature
prionace : Animal
candle : Light
lolium : Nature
bedrest : Healing
aralia : Nature
orthodontics : Healing
gatling : Tech
prism : Light
puddler : Water
injustice : Evil
heartthrob : Life
ointment : Healing
loader : Tech
gametophyte : Nature
asystole : Life 
limacidae : Animal
caprimulgiformes : Animal
peromyscus : Animal 
wolffiella : Animal 
cartload : Blunt 
distemper : Toxic 
spitball : Blunt 
subwoofer : Tech
serum: Healing
cannery: Tech
miwok: Animal
magnoliaceae: Nature
hagberry : Nature
devastation : Evil
hoof : Animal
blight : Toxic
surya : Light
echoencephalography : Tech
proteaceae : Nature
interface : Tech
austrocedrus : Nature
vidua : Animal
pedaliaceae : Nature
maniac: Evil
living: Life 
hypnos: Magic 
murderousness: Evil
varmint: Animal
haematopodidae : Animal
anguillan : Water
prosthodontics : Healing
rampage : Evil
okapia : Animal
windstorm : Air
unit : Tech
krill : Water
sadist : Evil
thorn : Piercing
hemolysin : Toxic
woodworm : Animal
thrash : Blunt
smallpox : Toxic
revival : Life
silversword : Cutting
drawbridge : Tech 
lamplighter : Light
messiahship : Good
malamute : Animal
invocation : Magic
architecture : Tech
needlebush : Piercing
healing : Healing
trainload : Tech
tapir : Animal
lancet : Piercing
rhinoceros : Animal
acinonyx : Animal
massasauga : Animal
inclinometer : Tech
handwheel : Tech
silversmith : Earth
amelanchier : Nature
snapdragon : Fire
agrostemma : Nature
erythromycin : Healing
ovum : Life
arcidae : Water
chiococca : Nature
skysail : Air
exocoetidae : Water
dolphinfish : Animal
censer : Magic
enginery : Tech
photocathode : Electric
pinprick : Piercing
sharp : Cutting
tubocurarine : Toxic
paperweight : Blunt
humanness : Life
pseudohermaphrodite : Animal
anthyllis : Nature
rivulus : Water
midge : Animal
leukocyte : Life
pyorrhea : Toxic
gramophone : Tech
plantaginales : Nature
bryony : Nature
diospyros : Nature
toxicologist : Toxic
osier : Nature
pyrogen : Fire
angiogenesis : Nature
dongle : Tech
arrowhead : Piercing 
woodiness : Nature 
overheating : Fire 
crocodile : Animal 
ephedrine : Tech
equine : Animal
